year,country,continent,rpgR,rpgD,user,con,amsale,amR,anime,gdp,gdpperson,mobile
2016,U.S.,North America,1290.6,51,139.99,363,26704,1085,114,18509.6,57292.53878,338.24
2017,U.S.,North America,1754,88,104.47,347,24750,1016,102,18924.57,58207.57831,340.11
2018,U.S.,North America,2546.64,112,173.06,343,22968,1096,138,19481.97,59607.39366,348.24
2019,U.S.,North America,5467.5,113,218.3,352,37230,1210,105,19928.98,60698.0113,355.76
2020,U.S.,North America,4754.5171,115,329.49,128,9680,997,93,19377.38,58451.60672,352.52
2021,U.S.,North America,5113.85,155,312.3,202,25200,1180,127,20529.46,61829.84563,361.66
2022,U.S.,North America,6612.706,166,326.52,325,26716,1189,128,20952.69,62866.71439,372.68
2016,Canada,North America,29,1,9.91,45,11500,517,114,1572.1,43536.9134,30.75
2017,Canada,North America,47,2,10.74,53,23400,1053,102,1619.89,44325.48834,31.69
2018,Canada,North America,56,2.7,12.6,50,10730,482,138,1664.87,44917.48373,33.21
2019,Canada,North America,76,5.1,21.9,45,20017,900,105,1696.31,45113.06628,34.37
2020,Canada,North America,123,5.7,21.2,16,20542,924,93,1610.23,42366.48714,32.36
2021,Canada,North America,115.8,5,14.1,10,20655,929,127,1690.93,44234.54214,33.61
2022,Canada,North America,93.5,5.7,14.9,25,20700,938,128,1748.36,44910.44173,35.08
2016,Mexico,North America,65.52,1.06,31.07,0,1380,62,114,1202.7,9897.170878,111.73
2017,Mexico,North America,108.18,2.23,33.82,1,1808,126,102,1228.11,9997.707942,114.33
2018,Mexico,North America,130.8,2.48,34.38,1,1287,57,138,1255.07,10120.38483,120.17
2019,Mexico,North America,171.32,2.81,36.5,1,2402,108,105,1252.57,10013.72425,122.04
2020,Mexico,North America,285.77,3.47,39.1,1,2465,110,93,1152.52,9147.072744,122.9
2021,Mexico,North America,276.8,4.93,41.6,0,2478,111,127,1206.92,9525.429719,126.47
2022,Mexico,North America,226.02,5.5,44,1,2484,112,128,1243.88,9755.616873,127.87
2016,Germany,Europe,120.384,72.96,17.29,7,7820,351,114,3432.46,41682.03224,103.47
2017,Germany,Europe,142.88,0.77,17.92,10,15912,716,102,3524.46,42639.55441,109.7
2018,Germany,Europe,183,1.36,16.28,12,7296.4,327,138,3559.04,42928.74124,107.5
2019,Germany,Europe,328,3.66,40.2,12,13611,612,105,3596.65,43284.60246,107.2
2020,Germany,Europe,801.9,7.35,75.5,4,13968,628,93,3463.69,41650.42271,107.4
2021,Germany,Europe,526.79,5.59,49.8,9,14045,631,127,3554.68,42726.48532,106.4
2022,Germany,Europe,679.991,6.33,42.2,10,14076,637,128,3618.13,43032.14208,104.4
2016,U.K.,Europe,106.92,1.68,16.3,27,440,179,114,2998.4,45699.29696,78.93
2017,U.K.,Europe,175.86,3,17.71,23,594,266,102,3071.67,46499.01355,79.1
2018,U.K.,Europe,212.4,4.1,19.121,28,1209,544,138,3124.04,47006.14293,78.89
2019,U.K.,Europe,277.26,3.97,17,30,554,248,105,3174.16,47491.59456,80.7
2020,U.K.,Europe,459.73,10,39.1,22,1034,465,93,2824.03,42098.60293,79.01
2021,U.K.,Europe,441.5,13,36.3,20,1061,477,127,3038.58,45334.157,79.77
2022,U.K.,Europe,366.42,8,22.1,35,1800,500,128,3163.21,47232.27181,81.56
2016,France,Europe,132.04,1.6,15.62,5,6881,308,114,2465.91,36956.7958,67.57
2017,France,Europe,152.34,3.29,16.42,8,14002,630,102,2522.41,37694.0833,69.02
2018,France,Europe,206.4528,3.6,16.51,8,16420,687,138,2569.46,38259.69777,70.42
2019,France,Europe,275.2704,9,39.3,18,11977,538,105,2616.81,38832.0242,72.04
2020,France,Europe,498.15,17.6,65.51,6,12291,552,93,2413.1,35712.0752,72.75
2021,France,Europe,395.676,21.8,60.53,12,12359,555,127,2577.6,38045.90216,75.3
2022,France,Europe,342.9552,21.65,57,12,12386,560,128,2643.64,38913.93741,76.81
2016,Italy,Europe,34.08,2.79,12.91,1,320,13,114,1860.39,30685.6459,85.96
2017,Italy,Europe,56.7,4.38,13.62,1,297,12,102,1891.42,31244.2271,83.87
2018,Italy,Europe,69.2,5.084,13.91,1,275,13,138,1908.93,31593.48026,83.34
2019,Italy,Europe,91.611,6.42,14.3,1,446,14,105,1918.16,32114.29986,79.48
2020,Italy,Europe,154.253,10.37,14.9,0,116,11,93,1745.92,29373.44509,77.58
2021,Italy,Europe,149.818,9.75,15.4,1,302,14,127,1867.91,31600.70948,78.11
2022,Italy,Europe,125.8121,7.96,15.8,1,320,14,128,1936.55,32902.66514,78.5
2016,Spain,Europe,17,1.05,12.92,4,213,8,114,1232.49,26514.32481,51.52
2017,Spain,Europe,34,2.05,12.99,5,198,8,102,1269.17,27239.35244,52.51
2018,Spain,Europe,31,1.58,9.15,6,183,8,138,1298.16,27739.86477,54.16
2019,Spain,Europe,46,1.8,10,8,297,9,105,1323.92,28087.89792,55.35
2020,Spain,Europe,89,5.68,26.7,4,77,7,93,1173.98,24785.44671,55.65
2021,Spain,Europe,82,7,26.7,6,201,9,127,1238.78,26125.87167,56.81
2022,Spain,Europe,78,8,29.7,9,213,9,128,1306.31,27434.87991,59.02
2016,Netherlands,Europe,4.0176,0.668,3.53,4,4,2,114,782.35,45938.78504,20.89
2017,Netherlands,Europe,6.561,1.41,3.84,3,6,2.9,102,805.13,46997.34545,20.53
2018,Netherlands,Europe,7.938,1.42,3.55,3,13,5.9,138,824.13,47826.81912,21.11
2019,Netherlands,Europe,10.43,1.51,3.53,3,6,2.7,105,840.25,48443.73205,21.76
2020,Netherlands,Europe,17.49,2.42,4.9,2,11,5.1,93,807.6,46303.21886,21.42
2021,Netherlands,Europe,17.18,3.43,5.2,1,11,5.2,127,846.87,48301.52896,21.89
2022,Netherlands,Europe,14.64,3.89,5.6,4,19,5.5,128,884.8,49979.8527,20.74
2016,Ireland,Europe,4.8,0.277,1.29,5,28,11,114,297.63,62588.66828,4.88
2017,Ireland,Europe,7.92,0.547,1.31,3,38,17,102,324.43,67486.2718,4.9
2018,Ireland,Europe,9.4,0.829,1.82,1,77,48,138,352.1,72339.42185,4.97
2019,Ireland,Europe,12.15,0.633,1.3,0,35,15,105,371.26,75239.30289,5.16
2020,Ireland,Europe,20.087,1.57,1.4,0,66,29,93,394.22,79074.54014,5.23
2021,Ireland,Europe,19.03,0.975,1.3,0,67,30,127,447.78,88966.67216,5.37
2022,Ireland,Europe,15.9674,1.02,1.3,0,115,32,128,501.38,98561.62405,5.69
2016,China Mainland,Asia Pacific,2928,1648,383.16,147,670476,6571,190,11819.15,8516.52919,1364.93
2017,China Mainland,Asia Pacific,4950,3366,402.75,2,644800,6179,170,12640.25,9053.2292,1469.88
2018,China Mainland,Asia Pacific,3126,3849,422.25,2,636160,6398,231,13493.44,9619.20998,1649.3
2019,China Mainland,Asia Pacific,5564.7,6835,701.8,6,639998,7310,175,14296.37,10155.51142,1746.24
2020,China Mainland,Asia Pacific,7840,10986,978.3,4,660041,7240,156,14616.41,10358.17054,1718.41
2021,China Mainland,Asia Pacific,10853.57,17188,1145.2,3,648000,7379,212,15851.13,11223.15337,1733.01
2022,China Mainland,Asia Pacific,11672.72,16302,1030,1,665600,7432,214,16325.21,11560.3302,1780.61
2016,Hong Kong,Asia Pacific,14.96,0.083,1.92,2,134,1.3,190,316.12,43087.54139,17.58
2017,Hong Kong,Asia Pacific,26.64,0.191,2.28,4,128,1.23,170,328.12,44380.80232,18.39
2018,Hong Kong,Asia Pacific,34.2,0.242,2.65,4,127,1,231,337.46,45280.4865,19.9
2019,Hong Kong,Asia Pacific,47.14,0.292,3,2,127,1.4,175,331.81,44195.26234,21.46
2020,Hong Kong,Asia Pacific,82.24,0.371,3.3,2,132,1.4,156,310.1,41451.28672,21.87
2021,Hong Kong,Asia Pacific,82.69,0.555,3.7,1,129,1.47,212,330.07,44525.59296,23.94
2022,Hong Kong,Asia Pacific,71.16,0.633,4,1,133.12,1.4864,214,318.6,43369.7143,21.86
2016,Japan,Asia Pacific,1488,3,68.47,3,419048,4107,250,4478.44,35242.19938,166.85
2017,Japan,Asia Pacific,2250,6,68.52,5,403000,3862,213,4553.47,35861.97285,172.79
2018,Japan,Asia Pacific,3520,4,46.88,7,397600,3999,237,4582.76,36138.52908,179.87
2019,Japan,Asia Pacific,2430,8,78.1,6,399999,4569,177,4564.33,36043.7844,186.51
2020,Japan,Asia Pacific,3460,8,71.5,1,412526,4525,169,4369.04,34603.26506,195.05
2021,Japan,Asia Pacific,4285.31,14,94.1,3,405000,4612,219,4462.65,35507.57859,200.48
2022,Japan,Asia Pacific,3606.43,16,99.3,4,416000,4645,215,4508.55,36032.39444,207.65
2016,India,Asia Pacific,46.08,8,201.1,1,1148,46,114,2277.27,1701.184227,1127.81
2017,India,Asia Pacific,83.88,19,235.3,1,1064,43,102,2432.02,1795.911839,1168.9
2018,India,Asia Pacific,111.4,11,121.61,1,987,47,138,2588.97,1891.138424,1176.02
2019,India,Asia Pacific,157.707,41,416.2,0,1600,52,105,2689.21,1944.314837,1151.48
2020,India,Asia Pacific,278.944,68,604.17,0,416,42,93,2532.4,1813.534542,1153.71
2021,India,Asia Pacific,281.99,89,596.5,0,1083,50,127,2761.59,1961.960877,1154.05
2022,India,Asia Pacific,243.3652,74,467.5,1,1148,51,128,2954.98,2085.121084,1142.93
2016,South Korea,Asia Pacific,485.64,0.7,15.41,0,128960,1235,114,1508.97,29461.78401,61.3
2017,South Korea,Asia Pacific,756,1.5,17.49,0,127232,1279,102,1556.65,30307.39524,63.66
2018,South Korea,Asia Pacific,1120,1.6,18,0,127999,1462,138,1601.9,31053.63793,66.36
2019,South Korea,Asia Pacific,959.85,3.3,33.8,0,132008,1448,105,1637.85,31640.21463,68.89
2020,South Korea,Asia Pacific,2040,4.7,41.9,0,129600,1475,93,1626.23,31372.47126,70.51
2021,South Korea,Asia Pacific,1455.8,5.8,38.5,0,133120,1486,127,1693.64,32730.65063,72.86
2022,South Korea,Asia Pacific,1453.584,5.9,37,0,141440,1579,128,1737.01,33644.64818,76.99
2016,Indonesia,Asia,183.6,3.68,35.67,0,0,0,114,904.18,3453.04943,385.57
2017,Indonesia,Asia,282.2,8.19,40.87,0,0,0,102,950.02,3591.780029,435.19
2018,Indonesia,Asia,232,14,64.03,0,0,0,138,999.18,3741.305267,319.43
2019,Indonesia,Asia,323,26.6,114,1,0,0,105,1049.33,3892.421662,341.28
2020,Indonesia,Asia,667,49,183.68,1,0,0,93,1027.66,3780.121635,355.62
2021,Indonesia,Asia,664,74.31,206.3,0,0,0,127,1065.71,3892.962372,365.87
2022,Indonesia,Asia,522,43.3,114,1,0,0,128,1122.29,4073.610494,316.55
2016,Turkiye,Asia,10.08,1.03,15.16,0,0,0,114,893.04,11022.4947,75.06
2017,Turkiye,Asia,16.632,2.21,16.8,0,0,0,102,960.03,11694.88857,77.8
2018,Turkiye,Asia,19.74,1.5,11.02,0,0,0,138,988.64,11938.74544,80.12
2019,Turkiye,Asia,25.515,1.57,10.21,1,0,0,105,996.39,11935.38787,80.79
2020,Turkiye,Asia,42.18,3.03,17.1,0,0,0,93,1015.72,12072.39944,82.13
2021,Turkiye,Asia,45.4,2.8,12.1,0,0,0,127,1131.04,13341.55634,86.29
2022,Turkiye,Asia,45.6,2.8,11.2,0,0,0,128,1193.99,13990.74687,90.3
2016,Thailand,Asia,1.548,0.335,3.25,0,1140,43,114,415.08,5878.753997,119.67
2017,Thailand,Asia,2.592,1.34,6.7,0,1212,39,102,432.42,6099.198086,121.53
2018,Thailand,Asia,3.18,1.46,6.7,0,1211,41,138,450.68,6336.239739,125.1
2019,Thailand,Asia,4.2039,1.56,6.7,0,1200,45,105,460.21,6453.894143,129.61
2020,Thailand,Asia,7.0115,2.63,9.77,1,1400,43,93,432.29,6048.100328,116.29
2021,Thailand,Asia,6.8162,3.51,9.77,0,1300,43,127,438.74,6127.589893,120.85
2022,Thailand,Asia,5.67118,2.54,6.7,1,1200,42,128,450.13,6278.173384,126.41
2016,Philippines,Asia,1.716,1.09,10.62,1,51,0.49,114,328.36,3130.910645,120.1
2017,Philippines,Asia,2.862,2.27,11.34,1,50,0.511,102,351.11,3289.472272,119.97
2018,Philippines,Asia,3.5,3.16,14.47,1,51,0.584,138,373.38,3439.100528,134.6
2019,Philippines,Asia,4.6413,3.4982,14.97,2,52,0.579,105,396.22,3589.613641,167.32
2020,Philippines,Asia,7.8832,4.37,16.24,0,51,0.59,93,358.51,3195.538887,149.58
2021,Philippines,Asia,7.7504,5.893,16.36,0,53,0.59,127,379,3328.042359,163.35
2022,Philippines,Asia,6.6072,6.39,16.83,1,56,0.63,128,407.69,3527.981157,166.45
2016,Singapore,Asia,0.858,0.152,1.87,1,181,12,114,319.09,56906.63258,8.46
2017,Singapore,Asia,1.319,0.321,2.03,3,192,11,102,333.59,59440.19971,8.38
2018,Singapore,Asia,1.498,0.148,0.86,0,192,12,138,345.52,61276.94659,8.57
2019,Singapore,Asia,1.854,0.24,1.3,2,190,13,105,350.12,61386.23615,9.03
2020,Singapore,Asia,2.937,0.298,1.4,0,222,12,93,336.46,59175.81104,8.44
2021,Singapore,Asia,2.71,0.512,1.8,0,206,12,127,366.35,67175.864,8.76
2022,Singapore,Asia,2.18,0.57,1.9,2,190.8,12,128,379.71,67359.78988,9.35
2016,Vietnam,Asia,1.53,3.3,13.77,0,0,0,114,255.26,2741.052937,120.6
2017,Vietnam,Asia,2.8,4.1,14.08,0,0,0,102,272.98,2903.02829,120.02
2018,Vietnam,Asia,3.99,2,17.2,0,0,0,138,293.36,3090.772241,140.64
2019,Vietnam,Asia,5.71,12.3,17,0,0,0,105,314.95,3288.353073,136.23
2020,Vietnam,Asia,10.02,11,81,0,0,0,93,323.97,3352.060157,138.93
2021,Vietnam,Asia,10.02,3.5,76,0,0,0,127,332.27,3409.024717,135.35
2022,Vietnam,Asia,8.49,12,32,0,0,0,128,358.92,3655.462581,137.41
2016,Malaysia,Asia,1.464,14.33,4.92,2,145,3,190,314.76,9984.14767,43.46
2017,Malaysia,Asia,4.4892,15.04,8.59,2,154,2,170,333.06,10416.02499,42.34
2018,Malaysia,Asia,1.628,15.86,4,3,154,2,231,349.19,10777.74924,42.41
2019,Malaysia,Asia,14.13,16.57,5.76,5,152,3,175,364.6,11114.54271,44.6
2020,Malaysia,Asia,61.1,17.07,9.72,0,178,3,156,344.42,10374.19005,43.72
2021,Malaysia,Asia,2,17.38,9.24,0,165,3,212,355.07,10575.87687,47.2
2022,Malaysia,Asia,2.243,17.56,10.11,3,152,2,214,385.94,11371.97016,47.95
2016,UAE,Asia,0.032,0.64,0.21,2,0,0,114,390.87,43457.51348,19.91
2017,UAE,Asia,0.063,4.87,0.82,1,0,0,102,393.74,43419.56374,19.83
2018,UAE,Asia,0.35,17.49,2.7,1,0,0,138,398.91,43644.14705,20.08
2019,UAE,Asia,0.448,10.87,1.57,0,0,0,105,403.34,43785.41727,19.6
2020,UAE,Asia,0.72,15.17,1.9,0,0,0,93,383.34,41276.05551,18.37
2021,UAE,Asia,0.26,8.75,0.82,0,0,0,127,398.36,42535.96605,18.24
2022,UAE,Asia,0.18,6,0.54,0,0,0,128,427.88,45320.64186,20.04
2016,Australia,Oceania,13.1,5.98,5.52,10,302,17,114,1387.46,57354.54981,26.55
2017,Australia,Oceania,25.8,12,5.92,16,321,17,102,1419.12,57701.52385,26.66
2018,Australia,Oceania,14.288,14.51,6.32,17,320,18,138,1460.04,58479.50355,27.64
2019,Australia,Oceania,147.42,16.1,6.6,16,318,20,105,1491.74,58868.48063,27.97
2020,Australia,Oceania,290.2,22.3,7.9,11,371,21,93,1490.98,58115.93067,27.01
2021,Australia,Oceania,108.01,31.88,8.43,13,344,19,127,1524.32,59339.68435,27.09
2022,Australia,Oceania,117.1,31.9,8,17,318,18,128,1579.47,60797.95865,28.02
2016,Brazil,South America,48.6,9.135,42.48,1,61,1.02,114,1743.17,8426.842251,244.07
2017,Brazil,South America,63.18,18.8,45.13,1,60,1.07,102,1766.23,8470.939629,221.27
2018,Brazil,South America,70.2,25.28,55.48,1,61,1.22,138,1797.74,8553.864918,209.41
2019,Brazil,South America,315.9,49.03,100.7,3,62,1.21,105,1819.68,8592.210218,202.01
2020,Brazil,South America,223.0794,55.25,98.415,0,61,1.2,93,1760.06,8255.567064,205.83
2021,Brazil,South America,245.04066,104.23,138.9,0,63,1.23,127,1847.86,8621.73059,219.66
2022,Brazil,South America,150.520275,67.66,85.5,3,67,1.32,128,1901.46,8831.126713,212.93
2016,Argentina,South America,0.131,4.19,10.83,1,0,0,114,582.38,13360.21183,63.72
2017,Argentina,South America,0.2565,8.94,11.89,0,0,0,102,598.79,13595.03736,61.9
2018,Argentina,South America,1.4288,7.03,8.58,0,0,0,138,583.12,13105.39716,58.6
2019,Argentina,South America,1.9,6.661,7.6,1,0,0,105,571.45,12716.2242,56.35
2020,Argentina,South America,5.47,14.95,14.8,0,0,0,93,514.63,11341.26837,54.76
2021,Argentina,South America,5.85,13.6,10.1,0,0,0,127,568.14,12402.49079,59.07
2022,Argentina,South America,4.9,10.7,9.7,0,0,0,128,597.93,12932.46953,60.24
2016,Saudi Arabia,Middle East&Africa,6.912,0.156,3.63,0,0,0,114,685.3,20508.11765,47.93
2017,Saudi Arabia,Middle East&Africa,12.6,0.3,3.92,0,0,0,102,684.83,20028.21365,40.21
2018,Saudi Arabia,Middle East&Africa,7.52,0.333,3.66,0,0,0,138,703.74,20096.55249,41.31
2019,Saudi Arabia,Middle East&Africa,10.449,0.4,4.11,0,0,0,105,709.6,19806.11547,41.3
2020,Saudi Arabia,Middle East&Africa,33.731,0.412,3.67,0,0,0,93,678.79,18856.91381,43.22
2021,Saudi Arabia,Middle East&Africa,26.296,0.56,3.77,0,0,0,127,705.41,19621.89194,45.43
2022,Saudi Arabia,Middle East&Africa,29.7,0.596,3.77,0,0,0,128,767.1,21068.99751,48.2
2016,Egypt,Middle East&Africa,0.11,0.45,3.77,1,0,0,114,343.68,3444.268262,97.79
2017,Egypt,Middle East&Africa,0.165,4.39,18.77,1,0,0,102,358.05,3517.587895,102.96
2018,Egypt,Middle East&Africa,0.736,5.3,20.96,0,0,0,138,377.14,3635.420582,93.78
2019,Egypt,Middle East&Africa,0.809,5,20.8,0,0,0,105,398.08,3769.03577,95.34
2020,Egypt,Middle East&Africa,3.373,6.69,21.3,0,0,0,93,412.21,3835.784215,95.36
2021,Egypt,Middle East&Africa,2.595,9.24,22,0,0,0,127,425.78,3896.842853,103.45
2022,Egypt,Middle East&Africa,1.844,8.42,19,0,0,0,128,453.83,4088.897045,103.45
2016,Russia,Eastern Eurpoean&Northern Asia,70.56,2,46.14,1,0,0,12,1366.12,9313.975586,229.13
2017,Russia,Eastern Eurpoean&Northern Asia,115.56,4,47.23,1,0,0,17,1391.07,9473.1875,227.3
2018,Russia,Eastern Eurpoean&Northern Asia,138.6,4,48.3,1,0,0,11,1430.12,9739.908203,229.43
2019,Russia,Eastern Eurpoean&Northern Asia,180.06,5,49.3,3,0,0,8,1461.55,9958.469727,239.8
2020,Russia,Eastern Eurpoean&Northern Asia,297.14,6,50.3,0,0,0,7,1422.77,9714.383789,238.73
2021,Russia,Eastern Eurpoean&Northern Asia,283.72,8,51.1,0,0,0,7,1502.65,10301.66504,246.57
2022,Russia,Eastern Eurpoean&Northern Asia,234.56,8,51.8,3,0,0,21,1471.54,10078.90039,245.27
2016,Nigeria,West Africa,0.0024,0.038,32,0,0,0,3,485.06,2570.960278,154.34
2017,Nigeria,West Africa,0.0054,0.083,35.7,0,0,0,0,488.96,2527.00012,144.92
2018,Nigeria,West Africa,0.01,0.15,61.14,0,0,0,0,498.37,2512.080983,172.73
2019,Nigeria,West Africa,0.00972,0.124,45.6,0,0,0,3,509.37,2505.462745,184.59
2020,Nigeria,West Africa,0.072,0.176,56,0,0,0,2,500.23,2401.1839,204.23
2021,Nigeria,West Africa,0.073,0.138,33,0,0,0,0,518.48,2429.585781,195.13
2022,Nigeria,West Africa,0.096,0.141,32,0,0,0,3,535.34,2449.588476,222.23
